ThicknessIdx,SampleID,SNR_total_median_dB,SNR_total_mean_dB,SNR_excess_median_dB,BuriedFraction,NoiseFloor_RMS_V,N_Events,Thickness
1,30,-0.0192059273884173,-0.0230312755601752,-14.9358566129632,0.533333333333333,0.00121376056849408,15,2 mm
1,31,-0.0502690956473744,-0.0205535306767625,-17.9314633513173,0.583333333333333,0.00121487004849123,12,2 mm
1,32,0.00114802020560206,0.00160329351979713,-15.4644716534955,0.5,0.00121539787215882,20,2 mm
1,33,0.00975419672686542,0.0550783549367107,-13.7225130550433,0.5,0.00121513605157396,12,2 mm
1,34,0.0940913723729379,0.0222849725873162,-14.9864569068453,0.357142857142857,0.00121406751941927,14,2 mm
1,35,-0.0422498002232822,-0.0224385842381231,-14.0418320364014,0.611111111111111,0.00121560083888941,18,2 mm
1,36,0.0681539667649473,0.0974693520791253,-12.7041805432948,0.315789473684211,0.00121406159795101,19,2 mm
1,37,-0.0103386042087339,0.00520745569395118,-18.3105924499845,0.5,0.00121601978625702,8,2 mm
1,38,-0.051753208095135,-0.0185086030998204,-13.923981892048,0.666666666666667,0.00121620919321808,18,2 mm
1,39,0.0121622536272304,0.0407897050798941,-13.8280020949354,0.5,0.00121546436147133,20,2 mm
1,40,0.0279338188001642,0.0373025986960817,-15.3452548366598,0.384615384615385,0.00121281210930419,13,2 mm
1,41,0.0728227517480092,0.0646849632523331,-14.3298698668001,0.333333333333333,0.0012167542604885,12,2 mm
1,42,-0.0445353992530303,-0.0843482602060464,-20.8888852583184,0.611111111111111,0.00121550036643207,18,2 mm
1,43,0.0376799321537418,0.0245705775526745,-14.8876385546678,0.421052631578947,0.00121302808564832,19,2 mm
1,44,0.0609006278694169,0.0386583065512194,-14.1727825209795,0.421052631578947,0.00121466105314593,19,2 mm
1,45,-0.0225396570283611,-0.0343512762517191,-19.6358848772159,0.583333333333333,0.00121564107024204,12,2 mm
1,46,0.0137320759739997,0.02414567718337,-15.2014251955004,0.5,0.00121631676420991,6,2 mm
1,47,-0.00526878292663736,-0.0215949723053907,-18.3652205091133,0.5,0.00121674502546729,12,2 mm
1,48,0.0199050266865711,0.0216460976011573,-14.1997433879971,0.421052631578947,0.00121542071382023,19,2 mm
1,49,-0.0894544523454744,-0.0551426183894534,-15.0105329191692,0.684210526315789,0.00121721723827093,19,2 mm
1,50,-0.0372703797544115,0.00218342275492089,-13.3921563662409,0.526315789473684,0.00121567029594177,19,2 mm
1,51,-0.0311167740964406,-0.0104714741531023,-15.044368193771,0.526315789473684,0.00121512243509618,19,2 mm
1,52,0.0294409819095006,0.0616661540060138,-15.6768011885361,0.4,0.00121580065872163,25,2 mm
1,53,0.0691401100467474,0.0260339097455641,-15.3591025425985,0.375,0.00121722587946191,16,2 mm
1,54,0.0391018764048063,0.0559815692316474,-11.8283235336239,0.5,0.00121882930049705,18,2 mm
1,55,-0.0284885716500703,-0.045299426210922,-15.1820397879853,0.642857142857143,0.00121753898141869,14,2 mm
1,56,-0.028486349747733,-0.0137424787964087,-16.2732414328019,0.588235294117647,0.00121929183445542,17,2 mm
1,57,0.00413094135400765,0.00149554057643556,-16.232428500671,0.5,0.00121960372069588,12,2 mm
1,58,-0.00327381408247461,-0.0345376469631779,-18.3126083514042,0.588235294117647,0.00121903539713897,17,2 mm
1,59,0.0987960575638255,0.0466048546288719,-16.141214816795,0.428571428571429,0.00122167903393832,7,2 mm
1,60,-0.147569067694043,-0.0656432952475071,-11.8344320787002,0.777777777777778,0.00122201333929603,9,2 mm
1,61,0.0141953350644298,0.0652567602967396,-15.9369421956408,0.333333333333333,0.00122053753887087,15,2 mm
1,62,0.0361408839112836,0.0427395266645337,-15.5620834490335,0.5,0.00122177870684476,6,2 mm
1,63,0.0126378809086609,0.0111845789663295,-20.1326440025245,0.375,0.00122310892994399,16,2 mm
1,64,-0.0192478047019685,-0.0022280524433631,-14.8957132037323,0.545454545454545,0.00122328029795299,22,2 mm
1,65,-0.0339326125680878,-0.0360830876903237,-16.9122265575271,0.647058823529412,0.00122469030175643,17,2 mm
1,66,-0.0010093179531563,-0.0518211889323536,-16.6543222707368,0.529411764705882,0.00122386611580628,17,2 mm
1,67,-0.063556762118825,-0.0222763337418828,-15.384609573397,0.642857142857143,0.00122624055972241,14,2 mm
1,68,-0.0587700423004919,-0.0541613064273403,-14.5056609642993,0.636363636363636,0.00122663123010555,11,2 mm
1,69,-0.0257182755974862,-0.0285020130239825,-18.0283985946203,0.588235294117647,0.00122504283653828,17,2 mm
1,70,-0.0463844449794982,-0.0799302682344759,-19.5809631627082,0.692307692307692,0.00122616991363504,13,2 mm
1,71,-0.0388843708337222,-0.0763881911250432,-17.3406249538599,0.529411764705882,0.00122707844815687,17,2 mm
1,72,-0.0887854285632175,-0.0446325837412102,-13.0067344796828,0.636363636363636,0.00122547998356694,11,2 mm
1,73,-0.0321243138676669,-0.0168346235286543,-16.2322418678483,0.619047619047619,0.00122616856804662,21,2 mm
1,74,-0.104163060034099,-0.0829628516843267,-24.7724336998619,0.818181818181818,0.00122635864458877,11,2 mm
1,75,-0.00682686685444464,-0.006816539376352,-17.8984642672303,0.533333333333333,0.00122702710680078,15,2 mm
1,76,-0.05428878728782,-0.0124670471617673,-16.9917096321554,0.666666666666667,0.00122617468925724,12,2 mm
1,77,0.0210770967575838,0.000188580754123331,-14.4110664854755,0.411764705882353,0.00122811145969947,17,2 mm
1,78,-0.00320834941790614,-0.0388320659857137,-17.2233401892215,0.55,0.00122736089057553,20,2 mm
1,79,0.0222917746043217,0.0149777879963143,-15.2129563964991,0.473684210526316,0.00122711109970533,19,2 mm
1,80,0.0516289568843631,0.0200410485168725,-16.3199148516711,0.466666666666667,0.00122938986821791,15,2 mm
1,81,-0.0627242810309287,-0.0538989761679819,-16.0122412218438,0.705882352941177,0.00122933324532522,17,2 mm
1,82,0.0260260338891915,0.00724962668139343,-18.6530962380638,0.363636363636364,0.00122879649894618,11,2 mm
1,83,0.077161344533474,0.0611725063374709,-15.6056518092081,0.294117647058824,0.0012288746207383,17,2 mm
1,84,-0.0365488117522724,-0.0589108805303208,-17.392884304909,0.5625,0.00122888977998179,16,2 mm
1,85,0.0109720182991393,-0.0045947168493248,-16.9868774653881,0.461538461538462,0.00122855782540245,13,2 mm
1,86,-0.00537187207029679,0.00856698442937638,-16.7292728348607,0.555555555555556,0.00123011100440543,9,2 mm
1,87,-0.00334546206495158,0.00699679309193865,-17.3689677594568,0.523809523809524,0.00122899082758337,21,2 mm
1,88,0.0509371276683814,0.0684819095183609,-17.3010393427558,0.25,0.00122963081634118,8,2 mm
1,89,0.0264860681250533,0.00655110613432909,-16.1957115734319,0.4,0.00122827224753753,20,2 mm
1,90,-0.0311408984295079,0.0315449355377943,-13.1955421165417,0.529411764705882,0.00122866313647814,17,2 mm
1,91,0.00769088311635617,0.034502634248989,-16.6307419600946,0.5,0.00122901498813365,12,2 mm
1,92,-0.0420265885130945,-0.0343091596709067,-15.1356823265344,0.705882352941177,0.00122845815726761,17,2 mm
1,93,0.0427647408593058,-0.0273390114688001,-18.5213720816773,0.375,0.00122904826950585,8,2 mm
1,94,-0.0428948864215839,-0.0314900008897704,-14.3900572478281,0.608695652173913,0.00122908249337735,23,2 mm
